类别,专业,民族,性别,成绩1,成绩2,成绩3,成绩4,成绩5,成绩6,成绩7,成绩8,成绩9,成绩10,成绩11,成绩12,成绩13,成绩14,成绩15,成绩16,成绩17,成绩18,成绩19,成绩20,图书馆天数,奖项数,户口性质,户籍,外语,月均刷卡天数,月均消费金额,恩格尔系数,餐饮月均总额,月均早餐次数,平均每笔早餐金额,早餐金额方差,月均午餐次数,平均每笔午餐金额,午餐金额方差,月均晚餐次数,平均每笔晚餐金额,晚餐金额方差,月均宵夜次数,平均每笔宵夜金额,宵夜金额方差,月均超市次数,超市月均金额,月均水果次数,水果月均金额,月均其他次数,其他月均金额,月均洗澡次数,pos机类型数,GDP,专业-1,专业-2,专业-3,助学岗位,贫困生
2,58,3,0,0.726386786,0.417245597,-0.337991089,0.195738301,-0.449016154,-0.167249635,0.902249515,0.032502584,-0.741682529,0.05534789,0.028698234,0.377741635,-0.39190495,-0.312280506,0.405523837,0.414997905,0.459461033,0.05126531,0.063277267,0.396515042,19,7,城镇应届,河南,80.66666667,15.41666667,200.3275,0.982154222,196.7525,15.66666667,2.440425532,2.611405166,19.25,4.612770563,12.99584707,16.16666667,4.312783505,8.387102057,0,0,0,0.25,5.4,0,0,0,0,3.583333333,56,1.8443,0.217391304,0.487922705,0.1352657,2130101011,0
1,58,3,0,0.7350474,0.479583681,-0.222398207,0.120159425,-0.37983647,-0.156083107,1.005230427,0.121393748,-0.532546222,0.157625332,-0.05394756,0.236107469,-0.559618294,-0.262260884,0.336171985,0.419998974,0.467827171,-0.242764577,-0.169906989,0.398905814,5,2,农村应届,福建,72.75,14.58333333,190.84,0.980559631,187.13,10,3.059166667,5.316890056,15.75,5.414708995,13.00301866,12.91666667,5.471483871,9.291677654,0,0,0,0.25,14.46666667,0,0,0,0,0.166666667,54,2.7608,0.217391304,0.487922705,0.1352657,0,0
0,58,3,0,0.705155969,0.409479439,-0.244696558,0.11243996,-0.427093178,-0.207559481,0.97608161,0.161468595,-0.455778122,0.142237321,0.015919255,0.314043462,-0.404258162,-0.309334576,0.464729041,0.471684039,0.668087482,-0.161799401,-0.080317132,0.350294113,0,2,城镇应届,江苏,85,8.416666667,118.075,0.998969581,117.9533333,6.25,4.518666667,7.251268468,5.166666667,7.648387097,19.85335801,7.5,6.692666667,13.93791865,0,0,0,0,0,0,0,0,0,0.25,31,3.207,0.217391304,0.487922705,0.1352657,0,0
0,58,3,0,0.757843554,0.391221911,-0.390945524,0.245085582,-0.342586368,-0.120974854,0.899444938,0.049621727,-0.649180055,0.139914528,-0.050659824,0.414725214,-0.43245703,-0.358870238,0.379670501,0.312001735,0.479939997,0.060797051,-0.034270015,0.427189887,8,0,城镇应届,山西,66.33333333,10.5,130.3758333,0.945554838,123.2775,3.666666667,2.547727273,1.801622622,4.5,6.190740741,15.53925227,14.08333333,6.112011834,18.09098164,0,0,0,0.75,6.937777778,0,0,0,0,4.25,41,1.9049,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.749240756,0.318089277,-0.336068183,0.261075765,-0.336024672,-0.185080364,0.905634999,0.111946464,-0.592488289,0.145982608,-0.016193414,0.386122346,-0.423174381,-0.412323833,0.437861264,0.347126186,0.550222874,0.007272703,-0.022684427,0.434934378,3,5,城镇应届,宁夏,77,12.58333333,96.12833333,0.981847183,94.38333333,14.83333333,2.354494382,0.752889291,1.25,8.5,19.10714286,10.66666667,4.578125,5.142037402,0,0,0,0.416666667,3.88,0,0,0,0,0.5,33,1.8832,0.217391304,0.487922705,0.1352657,0,2130101017
1,58,3,0,0.763961494,0.394927084,-0.217992306,0.177149236,-0.372770816,-0.097360745,1.08317554,0.130598292,-0.410343111,0.108310848,-0.066831164,0.361286819,-0.466565341,-0.14145036,0.461070836,0.329591215,0.625463963,-0.074351624,-0.147315532,0.381889582,2,2,城镇应届,山西,41.56666667,10.16666667,128.3208333,0.994012404,127.5525,6,3.402777778,4.016893584,11.91666667,5.067692308,14.2280545,8.666666667,5.39375,20.41338483,0,0,0,0,0,0,0,0,0,1.25,46,1.9049,0.217391304,0.487922705,0.1352657,0,2130101019
1,58,3,0,0.807735622,0.277120262,-0.419363797,0.326871306,-0.383002102,-0.246201023,0.830507159,-0.014608951,-0.672875702,0.169828251,0.142917335,0.471856266,-0.332578778,-0.278152615,0.466310859,0.423285514,0.542317569,0.011613778,-0.075815625,0.348814398,4,2,农村应届,江苏,84.8,13.33333333,156.6816667,0.994617537,155.8383333,11.25,2.051111111,2.704457711,13.83333333,4.821686747,9.657683198,14.16666667,4.663294118,8.530635238,0,0,0,0,0,0,0,0,0,1.166666667,62,3.207,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.69812417,0.412541121,-0.367065966,0.226377398,-0.329520911,-0.254198104,0.867299616,0.073353827,-0.581895232,0.183778301,-0.02978399,0.408483058,-0.401984751,-0.39497751,0.421333373,0.447730929,0.536577761,0.027651489,-0.08440695,0.440063477,2,0,城镇应届,湖北,73.66666667,1.75,22.49166667,1,22.49166667,0.416666667,2.26,1.008,1,9.75,4.522727273,1.333333333,8.85,11.40666667,0,0,0,0,0,0,0,0,0,0,12,2.1787,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.766358793,0.401655197,-0.356185734,0.15453957,-0.393983305,-0.148507729,0.912327528,-0.03457297,-0.555841863,0.135823101,0.05703637,0.369666636,-0.404776067,-0.32310006,0.451902121,0.511580586,0.531607509,-0.058181051,0.020791493,0.328361362,2,2,城镇应届,山东,74.75,10.41666667,181.1108333,0.981300585,177.7241667,3.416666667,3.231707317,6.138719512,15,5.4575,10.40875628,11.58333333,7.322589928,110.5361208,0,0,0,0.25,13.43333333,0,0,0,0,0.166666667,61,2.4685,0.217391304,0.487922705,0.1352657,0,0
1,58,3,0,0.674375951,0.490600049,-0.366703629,0.127028957,-0.425831109,-0.185694486,0.904651225,0.079434641,-0.535696328,0.069661699,0.023395821,0.400996864,-0.389964819,-0.383600563,0.400720686,0.473934144,0.560587168,-0.050277811,0.009134034,0.364324033,5,2,农村应届,湖北,76.66666667,17.33333333,262.4891667,0.834234429,218.9775,3.833333333,1.97173913,1.504294686,22.83333333,5.253576642,6.98525456,20.25,4.516666667,8.034738843,0,0,0,10.16666667,3.995901639,0,0,0,0,4.916666667,63,2.1787,0.217391304,0.487922705,0.1352657,0,2130101023
2,58,3,0,0.726189315,0.422059029,-0.462420553,0.223300427,-0.391860306,-0.122123078,0.914991558,-0.134856746,-0.542845845,0.142419502,0.142494768,0.461334646,-0.390952051,-0.236057967,0.497618407,0.492831469,0.575967789,0.071946442,-0.016153038,0.313260466,25,9,农村应届,山西,76,15.58333333,224.2141667,0.986434101,221.1725,14.08333333,2.502366864,1.640589603,13.58333333,6.224233129,9.992943081,15.41666667,6.576324324,40.28359076,0,0,0,0.166666667,6.25,0,0,0,0,3.25,58,1.9049,0.217391304,0.487922705,0.1352657,0,2130101024
0,58,3,0,0.686066329,0.370324492,-0.326167166,0.221442729,-0.456764221,-0.367095917,0.979748726,0.077082321,-0.463879615,-0.012386478,-0.124654986,0.488346547,-0.41019848,-0.285009235,0.292003095,0.436236888,0.541592896,-0.036168467,0.003474226,0.431370378,3,5,农村应届,湖北,72.33333333,16.41666667,298.4525,0.781310817,233.1841667,14.33333333,2.576162791,1.678551272,24.41666667,4.690477816,6.173477853,17.5,4.648571429,9.44930417,0.083333333,4.6,0,7.75,8.12688172,0,0,0,0,5.333333333,52,2.1787,0.217391304,0.487922705,0.1352657,0,0
2,58,11,1,0.711429775,0.38801682,-0.319429457,0.263134837,-0.37029615,-0.28739351,0.955027401,0.122315727,-0.531380892,0.133625492,-0.034695402,0.363671929,-0.449370384,-0.302511126,0.384972781,0.414473265,0.511070967,-0.084442355,-0.10433998,0.396279454,39,5,农村应届,湖北,76,18.25,162.1116667,0.89153567,144.5283333,9.75,2.463247863,3.532516947,19.08333333,4.10628821,4.059542741,12,3.477777778,4.167748873,0.25,1.666666667,0.083333333,3.75,4.126666667,0,0,0,0,3.583333333,61,2.1787,0.217391304,0.487922705,0.1352657,2130101026,2130101026
2,58,3,1,0.746390402,0.350742579,-0.260388434,0.207540274,-0.319220781,-0.200330302,1.003093243,0.169416904,-0.478674769,0.109987989,-0.10935159,0.374896795,-0.460408509,-0.32823956,0.43507728,0.326856166,0.546916485,-0.065490574,-0.088681132,0.437900454,11,1,城镇应届,辽宁,73.66666667,9.5,65.27,0.857029774,55.93833333,6.583333333,2.369367089,3.929426517,5.583333333,5.443283582,19.1676436,1.583333333,6.283157895,12.72205614,0,0,0,0.25,18.07333333,0,0,0,0,13.33333333,38,2.604,0.217391304,0.487922705,0.1352657,0,0
1,58,3,1,0.714882314,0.341813833,-0.287211329,0.19708547,-0.370602459,-0.234648764,0.955095887,0.045957185,-0.573581636,0.055108976,-0.095292293,0.393748552,-0.471202403,-0.322776318,0.415293604,0.426159501,0.499979466,0.011597716,0.028578941,0.438696206,11,0,城镇往届,河北,71.25,14.83333333,157.5075,0.85062087,133.9791667,9.25,2.822522523,3.179579034,14.58333333,4.375714286,10.20482348,11.83333333,3.614788732,6.082313076,0,0,0,2.416666667,6.274482759,0,0,0,0,13.08333333,66,1.9725,0.217391304,0.487922705,0.1352657,0,0
3,58,3,0,0.807501793,0.38607797,-0.430518389,0.214839414,-0.495170861,-0.145542681,0.809993505,-0.056698367,-0.74232775,0.113043778,0.186288714,0.410889715,-0.368621498,-0.309904575,0.407059312,0.446402013,0.512950957,-0.113705061,-0.014755735,0.283193588,27,6,城镇应届,江苏,86.5,18.58333333,336.3216667,0.984974702,331.2683333,19.5,3.368803419,6.523014013,31.91666667,4.245013055,8.626977945,26.91666667,4.707678019,12.84245701,0,0,0,0.333333333,6,0,0,0,0,4.916666667,64,3.207,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.678533435,0.456631839,-0.30317682,0.13011241,-0.339222461,-0.279008061,0.996558011,0.095449261,-0.376554996,0.167258501,-0.109120041,0.313953221,-0.491194725,-0.298261076,0.326129079,0.531162918,0.562071383,-0.220566109,-0.153086454,0.415757746,7,3,城镇应届,安徽,70,12.66666667,201.7375,0.982915092,198.2908333,10.91666667,2.781679389,5.10658485,14,4.439404762,6.899235572,21.08333333,4.839011858,7.830236718,0.5,7.5,7.5,0.416666667,4.02,0,0,0,0,3.083333333,53,1.9998,0.217391304,0.487922705,0.1352657,2130101031,0
1,58,3,0,0.703638792,0.419152886,-0.432931453,0.197119221,-0.341620982,-0.153779164,0.877549171,0.065761149,-0.568684518,0.198012426,0.078182712,0.386683941,-0.489901066,-0.408643693,0.408732533,0.420286626,0.523908257,-0.03535087,-0.096405677,0.356858164,3,4,城镇应届,湖北,71.25,19.25,318.2258333,0.96273087,306.3658333,13.08333333,2.823566879,3.288607709,27.41666667,5.055440729,6.196314516,26.41666667,4.720347003,6.797966651,2.666666667,2.296875,0.449344758,2.083333333,4.12,0,0,0,0,5.583333333,62,2.1787,0.217391304,0.487922705,0.1352657,0,2130101032
3,58,9,0,0.763776541,0.352987856,-0.320429206,0.245806083,-0.327173501,-0.210228354,0.936546147,0.121760219,-0.524608374,0.110144414,-0.059269786,0.403192878,-0.416021258,-0.364607573,0.436307847,0.348872334,0.531311572,-0.056381851,-0.056365766,0.413696975,2,0,城镇应届,陕西,76.8,6.666666667,76.66833333,0.9863916,75.625,4.666666667,3.726785714,4.070724026,7.166666667,5.358139535,8.568109439,3.666666667,5.409090909,7.235729387,0,0,0,0.333333333,2.975,0,0,0,0,0.166666667,29,1.8874,0.217391304,0.487922705,0.1352657,0,0
1,58,3,0,0.727156997,0.331615359,-0.374032259,0.254306942,-0.306248337,-0.139528334,0.901691973,0.041939769,-0.399411768,0.23447907,0.043963429,0.356485933,-0.635861874,-0.350566596,0.387287289,0.455627292,0.64684242,-0.201440603,-0.199609801,0.349038154,0,2,城镇应届,河南,77.66666667,11.75,176.3383333,0.999215523,176.2,7.083333333,3.182352941,6.781708683,12.66666667,5.583552632,11.55754226,16.16666667,5.129896907,11.44480103,0,0,0,0,0,0,0,0,0,0.5,46,1.8443,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.704256594,0.380448818,-0.264073014,0.147707164,-0.396804839,-0.167386204,1.050766945,0.05508152,-0.418312669,0.106007993,-0.094638795,0.340486884,-0.52737391,-0.179648519,0.355006933,0.412886292,0.604574919,-0.12083593,-0.095027991,0.428255945,6,1,城镇应届,甘肃,68.5,7.166666667,64.03333333,0.867516918,55.55,0.833333333,2.53,1.409,5.25,4.574603175,9.119022017,6.416666667,4.585714286,9.04387218,0,0,0,1.083333333,5.198461538,0,0,0,0,4.416666667,44,1.467,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.731345892,0.382762402,-0.29464823,0.215125531,-0.424172699,-0.185730278,0.83685267,0.064639963,-0.570150197,0.087191463,0.035832018,0.408773214,-0.515322208,-0.375880331,0.412076563,0.42743811,0.595062256,-0.148765773,-0.112248577,0.386136234,36,0,城镇应届,江西,70.375,19.16666667,283.7683333,0.993809504,282.0116667,16.08333333,1.869948187,1.179899476,28.41666667,4.241055718,7.724261823,32.75,4.012824427,7.714611645,0,0,0,0.166666667,5.5,0,0,0,0,1.416666667,61,2.011,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.704762578,0.377289236,-0.263269663,0.147434458,-0.396467894,-0.16967383,1.051564336,0.056416001,-0.418428123,0.10590411,-0.096175238,0.342791051,-0.527418792,-0.181142896,0.354678303,0.412413239,0.605112076,-0.12065617,-0.095967241,0.429894418,4,0,农村应届,福建,71.25,7.75,62.635,0.887150422,55.56666667,2.583333333,1.967741935,0.908924731,4.25,5.188235294,9.698658824,5.416666667,5.249230769,10.77191346,0,0,0,0.583333333,7.748571429,0,0,0,0,3.916666667,53,2.7608,0.217391304,0.487922705,0.1352657,0,2130101037
0,58,3,0,0.745706677,0.348318577,-0.259513646,0.207961231,-0.320519894,-0.201402888,1.000377893,0.170557693,-0.477915764,0.108433723,-0.107895166,0.373453617,-0.458528757,-0.327634096,0.436767191,0.322607815,0.548481464,-0.065614365,-0.090988733,0.438261151,11,0,农村应届,黑龙江,70.33333333,4.75,53.66666667,0.877329193,47.08333333,0.583333333,4.285714286,9.904761905,3.583333333,6.334883721,25.11184939,3.5,6.252380952,13.265482,0,0,0,0.416666667,11.12,0,0,0,0,2.666666667,39,1.9838,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.759939134,0.458254606,-0.282280117,0.124351561,-0.434403092,-0.092048064,1.006762266,0.045621507,-0.531629741,0.130358726,-0.018058401,0.301857859,-0.474940777,-0.15725708,0.36057505,0.415502429,0.530425429,-0.17143631,-0.120696113,0.383402824,32,1,城镇应届,陕西,73.5,11.66666667,192.6983333,0.946470736,182.3833333,6.916666667,2.339759036,3.815107258,15,5.246833333,11.75679606,18,4.808194444,11.2972437,0,0,0,2.333333333,3.825,0,0,0,0,1.833333333,65,1.8874,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.712307274,0.377389103,-0.223764583,0.189978972,-0.416432887,-0.214713797,0.989918411,0.141951948,-0.505454481,0.093928374,-0.074017771,0.3327474,-0.514588475,-0.269015849,0.358791471,0.397452652,0.559121013,-0.11138989,-0.087071106,0.410009891,1,3,农村应届,河南,65.75,15.08333333,207.3566667,0.972141399,201.58,10.75,2.469767442,1.130406977,16.5,5.356464646,9.949497083,22.33333333,3.879776119,5.90276774,0,0,0,0.666666667,6.7375,0,0,0,0,4,39,1.8443,0.217391304,0.487922705,0.1352657,0,2130101040
2,58,3,0,0.740987301,0.377739221,-0.382285744,0.304667383,-0.337621838,-0.248203263,0.907831371,0.049147669,-0.597931385,0.149394795,-0.022307513,0.383841157,-0.434366137,-0.375716388,0.375861496,0.387446195,0.465732604,-0.007648851,-0.035067387,0.39233169,59,7,农村应届,湖南,84.33333333,17.08333333,290.65,0.970233385,281.9983333,9.833333333,2.156779661,1.774953643,24.75,5.033569024,7.694321003,28.08333333,4.850178042,10.06081425,0,0,0,1,7.133333333,0,0,0,0,4.5,63,2.1115,0.217391304,0.487922705,0.1352657,0,2130101041
1,58,3,0,0.746048689,0.367870927,-0.43825528,0.255289108,-0.38230741,-0.212339774,0.923012972,0.06929335,-0.489766091,0.218984336,0.085465975,0.42673254,-0.369700551,-0.304081887,0.468021214,0.435731828,0.555245399,-0.017742718,-0.091200314,0.301371276,10,2,农村应届,天津,61.875,16.16666667,239.4266667,0.926964415,221.94,6.083333333,3.516438356,5.28444825,19.75,5.011814346,6.175707287,22.58333333,4.497343173,6.82457736,0,0,0,2.166666667,5.492307692,0,0,0,0,9.25,55,3.4074,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.700944006,0.449685425,-0.340293169,0.13019529,-0.364483744,-0.202287644,1.000671864,0.078319974,-0.471544564,0.145985425,-0.081133328,0.308036089,-0.486261815,-0.29984051,0.318240792,0.472861052,0.507372558,-0.167040661,-0.084367484,0.406418055,9,8,城镇应届,贵州,78.5,15.75,234.4716667,0.992507979,232.715,5.333333333,3.1578125,3.78438244,23.16666667,4.284640288,5.60420691,26.5,4.400471698,9.175354666,0,0,0,0,0,0,0,0,0,2.083333333,42,1.5121,0.217391304,0.487922705,0.1352657,0,2130101044
3,58,3,0,0.739476442,0.427096337,-0.362542629,0.160983354,-0.419574708,-0.196879759,0.878977001,0.002367197,-0.513892174,0.154083639,0.079075277,0.341320843,-0.48312673,-0.313415736,0.355701834,0.538736761,0.579872966,-0.269552469,-0.153315768,0.332112461,1,4,城镇应届,云南,70.625,16,271.6608333,0.970729433,263.7091667,5.583333333,3.173134328,3.796540027,18.83333333,4.987920354,15.45758277,28.41666667,5.321524927,9.641308256,0.166666667,5,0,0.25,11.43333333,0,0,0,0,9.333333333,44,1.672,0.217391304,0.487922705,0.1352657,2130101045,0
2,58,3,0,0.741876841,0.347741485,-0.352316529,0.274799049,-0.330213785,-0.232280999,0.901366949,0.024740567,-0.573818922,0.166338965,-0.029654296,0.379560649,-0.487049133,-0.367496133,0.369119167,0.413919717,0.504197717,-0.053054944,-0.085074127,0.431087345,18,6,农村应届,安徽,78.33333333,16.33333333,265.9275,0.97951196,260.4791667,6.333333333,2.439473684,1.658954386,23.83333333,4.733041958,5.469099135,29.08333333,4.546418338,9.222060985,0,0,0,0.333333333,12.75,0,0,0,0,4.416666667,56,1.9998,0.217391304,0.487922705,0.1352657,0,2130101046
2,58,3,0,0.779042006,0.311256349,-0.300129414,0.280969828,-0.306358695,-0.247968599,0.934138238,0.156009197,-0.398667723,0.221206054,-0.045644443,0.378906488,-0.483519703,-0.311730534,0.454821885,0.414659679,0.591802955,-0.156972304,-0.199645802,0.347889334,15,5,农村应届,山东,75.25,18.16666667,264.4558333,0.973152417,257.3558333,20.75,1.391164659,0.574195816,41.58333333,3.126112224,6.353399714,30.33333333,3.247087912,6.158484609,0,0,0,0.916666667,7.118181818,0,0,0,0,0.833333333,59,2.4685,0.217391304,0.487922705,0.1352657,0,2130101047
0,58,3,0,0.695967734,0.497436553,-0.34096241,0.132129356,-0.41272676,-0.13565293,0.9575876,0.131498531,-0.545141697,0.103830539,-0.016190544,0.357067138,-0.415740311,-0.326810449,0.38850534,0.423421174,0.53585422,-0.056537632,-0.022101555,0.357857287,5,1,城镇应届,江西,73.75,17.33333333,263.6275,0.952584613,251.1275,11.58333333,2.377697842,3.623484517,35.33333333,4.334268868,7.340332325,17,4.143627451,7.204836038,0,0,0,0.416666667,30,0,0,0,0,0,51,2.011,0.217391304,0.487922705,0.1352657,0,2130101048
2,58,3,0,0.712152302,0.330984622,-0.312710464,0.215071425,-0.429478377,-0.180893481,0.903792083,0.122577541,-0.453052104,0.20126529,0.086033583,0.331350148,-0.490311116,-0.341438055,0.481689304,0.497738034,0.717136502,-0.184631303,-0.109145686,0.308817476,3,6,城镇应届,山东,77.66666667,12.41666667,152.9216667,0.991662398,151.6466667,9.25,2.106306306,2.922959869,24.25,3.560034364,8.232072757,11.5,3.985434783,8.745315503,0,0,0,0.083333333,15.3,0,0,0,0,0,50,2.4685,0.217391304,0.487922705,0.1352657,0,2130101049
2,58,11,0,0.71817255,0.428075671,-0.317844182,0.157512397,-0.361907214,-0.214778975,0.979530334,0.058913507,-0.443211973,0.165981263,-0.057388112,0.306308478,-0.504067063,-0.293096334,0.342095584,0.487199605,0.560913622,-0.2177414,-0.115946233,0.37759161,2,5,城镇应届,湖北,82.5,11.58333333,146.2608333,0.980297756,143.3791667,3.416666667,2.890243902,6.363902439,6.833333333,5.613414634,37.95179313,17.25,5.515700483,10.53678774,0,0,0,0.083333333,3,0,0,0,0,3.75,51,2.1787,0.217391304,0.487922705,0.1352657,2130101050,0
2,58,3,1,0.802044511,0.386761367,-0.436274499,0.198899239,-0.355265915,-0.136912733,0.816865265,0.083255984,-0.573194921,0.274079621,0.00217066,0.376179457,-0.385699093,-0.308747768,0.434647709,0.498689562,0.601324022,-0.121449448,-0.112855271,0.285380423,46,10,农村应届,新疆,78.5,16.75,113.4433333,0.925116798,104.9483333,16.91666667,1.05320197,0.773294152,20.16666667,2.470991736,3.371675361,17.08333333,2.032195122,2.89935055,1.416666667,1.470588235,0.170955882,1.916666667,3.552173913,0,0,0,0,2.416666667,67,1.8355,0.217391304,0.487922705,0.1352657,2130101051,2130101051
